url,title,seendate,domain,language,sourcecountry,headline_mention,outlet_type
https://www.davisvanguard.org/2022/03/justice-reform-groups-look-at-six-critical-da-races-for-2022-in-california/,Justice Reform Groups Look At Six Critical DA Races for 2022 in California,20220311T180000Z,davisvanguard.org,English,United States,False,unclassified
https://townhall.com/columnists/anncoulter/2022/03/09/do-these-black-lives-matter-to-las-idiot-da-n2604354,Do These Black Lives Matter to L . A . Idiot D . A .? ,20220309T234500Z,townhall.com,English,United States,False,unclassified
https://www.takimag.com/article/do-these-black-lives-matter-to-l-a-s-idiot-d-a/,Do These Black Lives Matter to L . A . Idiot D . A .? - Taki Magazine,20220310T130000Z,takimag.com,English,United States,False,unclassified
https://www.nytimes.com/2022/03/12/opinion/california-democrats-liberals-progressives.html,Opinion | Just How Liberal Is California ? The Answer Matters to Democrats Everywhere . ,20220312T180000Z,nytimes.com,English,United States,False,national
https://www.politico.com/newsletters/california-playbook/2022/03/14/as-goes-bonta-so-goes-the-state-00016934,"As goes Bonta , so goes the state",20220314T144500Z,politico.com,English,United States,False,national
https://sfist.com/2022/03/08/judge-in-sfpd-use-of-force-trial-balks-at-prosecutions-request-for-new-court-date-sends-clear-message-to-da/,"Judge In SFPD Use - of - Force Trial Balks at Prosecution Request for New Court Date , Sends Clear Message to DA",20220308T231500Z,sfist.com,English,United States,False,local
https://uptownmessenger.com/2022/03/viewpoint-progressive-prosecutors-like-da-jason-williams-are-often-on-the-hot-seat/,Viewpoint : Progressive prosecutors like DA Jason Williams are often on the hot seat,20220310T181500Z,uptownmessenger.com,English,United States,False,unclassified
https://www.havasunews.com/opinion/ann-coulter-do-these-black-lives-matter-to-l-a-s-idiot-da/article_df635d80-a366-11ec-8b5b-dfa2d959a9ab.html,Ann Coulter : Do these black lives matter to L . A . idiot DA ? | Opinion,20220314T080000Z,havasunews.com,English,United States,False,unclassified
https://patriotpost.us/opinion/86815-do-these-black-lives-matter-to-las-idiot-da-2022-03-10,Ann Coulter : Do These Black Lives Matter to LA Idiot DA ? ,20220310T161500Z,patriotpost.us,English,United States,False,unclassified
https://www.fbherald.com/opinion/do-these-black-lives-matter-to-l-a-s-idiot-d-a/article_110ea3bb-771f-5fa1-a805-a7bfd6b8b95f.html,DO THESE BLACK LIVES MATTER TO L . A . IDIOT D . A .? ,20220310T231500Z,fbherald.com,English,United States,False,unclassified
https://www.ktvu.com/news/close-to-70-of-respondents-say-yes-to-recall-boudin-recent-poll-shows,Chesa Boudin poll shows recall effort has strong support,20220316T231500Z,ktvu.com,English,United States,True,local
https://www.lawofficer.com/san-francisco-voters-recall-district-attorney-chesa-boudin/,San Francisco voters on track to recall District Attorney Chesa Boudin,20220320T231500Z,lawofficer.com,English,United States,True,unclassified
https://www.sfchronicle.com/politics/joegarofoli/article/Attorney-General-Rob-Bonta-s-opponents-want-to-17012883.php,Attorney General Rob Bonta opponents want to talk about crime . He wants to talk about the guns driving it,20220320T113000Z,sfchronicle.com,English,United States,False,local
https://www.ebar.com/index.php?id=313887,Bay Area Reporter :: Poll shows support for recall of DA Boudin,20220316T213000Z,ebar.com,English,United States,True,unclassified
https://www.ebar.com/news/latest_news/313887,Bay Area Reporter :: Poll shows support for recall of DA Boudin,20220316T190000Z,ebar.com,English,United States,True,unclassified
https://www.sfchronicle.com/sf/bayarea/heatherknight/article/D-A-Chesa-Boudin-recall-New-poll-of-S-F-voters-17005027.php,D . A . Chesa Boudin recall : New poll of S . F . voters suggests he might be in trouble,20220316T121500Z,sfchronicle.com,English,United States,True,local
https://www.city-journal.org:443/chesa-boudin-facing-uphill-battle-in-recall-election,Chesa Boudin Facing Uphill Battle in Recall Election,20220317T221500Z,city-journal.org,English,United States,True,unclassified
https://www.americanthinker.com/blog/2022/03/the_reign_of_west_coast_sorosfunded_prosecutors_may_be_ending.html,The reign of West coast Soros - funded prosecutors may be ending,20220317T123000Z,americanthinker.com,English,United States,False,unclassified
https://dailycaller.com/2022/03/17/chesa-boudin-recall-san-francisco-crime/,New Poll Is Bad News For A Left - Wing DA Facing Recall,20220317T211500Z,dailycaller.com,English,United States,True,national
https://hotair.com/john-s-2/2022/03/16/recall-new-poll-shows-da-chesa-boudin-is-in-trouble-n455740,Recall : New poll shows DA Chesa Boudin is in trouble,20220316T201500Z,hotair.com,English,United States,True,unclassified
https://www.washingtonexaminer.com/news/vast-majority-favor-recalling-da-chesa-boudin-as-crime-sweeps-san-francisco-poll,Vast majority favor recalling DA Chesa Boudin as crime sweeps San Francisco : Poll,20220317T030000Z,washingtonexaminer.com,English,United States,True,unclassified
https://bearingarms.com/camedwards/2022/03/20/california-ag-race-could-hinge-on-gun-control-n56588,California AG race could hinge on gun control,20220320T210000Z,bearingarms.com,English,United States,False,unclassified
https://www.newsweek.com/most-san-francisco-dems-favor-ousting-progressive-da-over-crime-spike-poll-1688756,Most San Francisco Dems Favor Ousting Progressive DA Over Crime Spike : Poll,20220316T220000Z,newsweek.com,English,United States,False,national
https://sfist.com/2022/03/16/new-poll-by-recall-boudin-campaign-suggests-dems-in-favor-pro-boudin-camp-fires-back-with-more-police-data/,New Poll By Recall Boudin Campaign Suggests Dems In Favor ; Pro - Boudin Camp Fires Back With More Police Data,20220316T194500Z,sfist.com,English,United States,True,local
https://redstate.com/jeffc/2022/03/17/woke-california-district-attorney-finds-himself-in-hot-water-n537284,Woke California District Attorney Finds Himself in Hot Water,20220317T220000Z,redstate.com,English,United States,False,unclassified
https://www.sfchronicle.com/sf/article/Are-S-F-residents-getting-their-money-s-worth-17004777.php,Are S . F . residents getting their money worth from police ? ,20220316T020000Z,sfchronicle.com,English,United States,False,local
https://www.latimes.com/california/newsletter/2022-03-17/essential-california-shasta-county-recall-essential-california,Essential California : The former filmmaker who bankrolled a militia - backed recall,20220317T130000Z,latimes.com,English,United States,True,national
https://datebook.sfchronicle.com/movies-tv/legendary-documentarian-stanley-nelson-up-for-his-first-oscar-for-powerful-attica,Legendary documentarian Stanley Nelson up for his first Oscar for powerful  Attica  ,20220318T161500Z,datebook.sfchronicle.com,English,United States,False,unclassified
https://www.theepochtimes.com/soros-mindset-invades-nashville_4351486.html,Soros Mindset Invades Nashville,20220321T180000Z,theepochtimes.com,English,United States,False,unclassified
https://www.chron.com/politics/article/Chesa-Boudin-recall-San-Francisco-poll-crime-17006018.php,"We finally have a Chesa Boudin recall election poll , and it bad news for him",20220316T161500Z,chron.com,English,United States,True,unclassified
https://www.sfgate.com/politics/article/Chesa-Boudin-recall-San-Francisco-poll-crime-17006018.php,"We finally have a Chesa Boudin recall election poll , and it bad news for him",20220316T151500Z,sfgate.com,English,United States,True,local
https://www.politico.com/newsletters/california-playbook/2022/03/17/a-brutal-new-poll-for-boudin-00018061,A brutal new poll for Boudin,20220317T144500Z,politico.com,English,United States,True,national
https://www.wgbh.org/news/politics/2022/03/15/if-elected-da-will-kevin-hayden-keep-rachael-rollins-progressive-policies-in-place,"If elected DA , will Kevin Hayden keep Rachael Rollin progressive policies in place ? ",20220315T144500Z,wgbh.org,English,United States,False,unclassified
